Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI,AQI_prev1,AQI_prev2,delta_AQI,delta2_AQI
535,36.1,30.7,222,211.9,9,6,9.0,10.0,0.0,1.0
537,36.1,30.7,221,211.0,8,5,9.0,9.0,-1.0,-1.0
539,36.1,30.7,221,211.0,8,5,8.0,9.0,0.0,1.0
541,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
543,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
545,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
547,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
549,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
551,36.1,30.8,221,210.8,8,6,8.0,8.0,0.0,0.0
554,36.1,30.8,220,209.8,7,4,8.0,8.0,-1.0,-1.0
556,36.1,30.8,220,209.8,7,4,7.0,8.0,0.0,1.0
558,36.1,30.8,220,209.8,7,4,7.0,7.0,0.0,0.0
560,36.1,30.8,220,209.8,7,4,7.0,7.0,0.0,0.0
562,36.1,30.8,220,209.8,7,4,7.0,7.0,0.0,0.0
564,36.1,30.8,219,208.9,6,3,7.0,7.0,-1.0,-1.0
566,36.1,30.8,219,208.9,6,3,6.0,7.0,0.0,1.0
568,36.1,30.8,219,208.9,6,3,6.0,6.0,0.0,0.0
611,36.2,30.8,259,246.6,38,48,6.0,6.0,32.0,32.0
613,36.1,31.4,312,296.2,80,117,38.0,6.0,42.0,10.0
615,36.0,31.3,350,333.2,110,150,80.0,38.0,30.0,-12.0
617,35.9,31.5,398,379.0,149,188,110.0,80.0,39.0,9.0
620,35.7,31.7,426,406.6,171,214,149.0,110.0,22.0,-17.0
622,35.6,31.7,448,428.5,190,224,171.0,149.0,19.0,-3.0
624,35.5,31.7,466,446.5,205,238,190.0,171.0,15.0,-4.0
626,35.4,31.8,481,461.4,217,248,205.0,190.0,12.0,-3.0
629,35.3,31.8,495,475.8,229,260,217.0,205.0,12.0,0.0
631,35.2,31.9,507,487.9,239,270,229.0,217.0,10.0,-2.0
633,35.2,31.9,470,452.3,210,228,239.0,229.0,-29.0,-39.0
635,35.1,31.9,427,411.7,175,165,210.0,239.0,-35.0,-6.0
